Identifiant,Code Postal,Présence,Adresse,Nom Officiel Commune / Arrondissement Municipal Majuscule,Automate 24-24,Mise à jour,Prix Gazole,Prix SP95,Prix SP98,Prix GPLc,Prix E10,Prix E85,Marque,Geo Point,Code officiel commune ou arrondissement
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,29.07.7152,1.659,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.665,,1.834,,1.724,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,06.11.7152,1.549,,1.689,,1.629,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,06.11.7152,1.659,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,06.11.7152,1.679,1.645,1.675,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,14.02.7153,1.659,,1.809,,1.709,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,25.05.7153,1.659,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,02.09.7153,1.519,1.641,1.675,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,02.09.7153,1.559,,1.709,,1.629,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,02.09.7153,1.559,,1.709,,1.629,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,02.09.7153,1.659,,1.809,,1.709,,Eni France,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,11.12.7153,1.58,1.535,1.739,0.839,1.655,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,11.12.7153,1.659,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.532,1.641,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.532,1.641,1.675,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.569,,1.709,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.569,,1.729,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,21.03.7154,1.659,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.665,,1.834,,1.729,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,21.03.7154,1.665,,1.839,,1.729,,Total Energies,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.487,1.642,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.504,,1.688,,1.604,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.504,,1.729,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.641,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.66,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.66,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.66,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.66,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.505,1.66,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,29.06.7154,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.665,,1.839,,1.734,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,29.06.7154,1.665,,1.844,,1.734,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,07.10.7154,1.559,,1.729,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,07.10.7154,1.649,,1.809,,1.709,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,15.01.7155,1.649,,1.809,,1.709,,Eni France,,
